"site","plot","year","UTMx","UTMy","sekhabtype","terhabtype","pHjord","pHvand","Cijord","Nijord","CNratio","Fosfortal","NitratN","Nilyngfamilien","Pilyngfamilien","NPilyngfamilien","Nigraminoids","Pigraminoids","NPigraminoids","Nitoervemos","Pitoervemos","NPitoervemos","Niandetmos","Piandetmos","NPiandetmos","morlag","vegetationshoejde","vedplanterover1m5md","vedplanterunder1m5md","dvaergbuske5md","vandflade5md","lyngensbladbille5md","enebær5md","gråris5md","havtorn5md","hoeljer5md","hvasavneknippe5md","klokkelyng5md","vadegræs5md","graesningbin","hoesletbin","indikatorarter","antalarter","antalstjernearter","antaltostjernearter","antalenaarigearter","meanscore","andelstjerne","andeltostjerne","Ndep","nedbør","jordtype","slope","aspect","pEL","pEF","pER","pEN","pGC","pGS","pGR","pAnnualsGrime","pchmax","pslamean","psmmean","pEEL","pEEF","pEER","pEEN","pEES","pLDMC","pLM","pLS","pnaeringsratio","pEnaeringsratio","fEL","fEF","fER","fEN","fGC","fGS","fGR","fAnnualsGrime","fchmax","fslamean","fsmmean","fEEL","fEEF","fEER","fEEN","fEES","fLDMC","fLM","fLS","fnaeringsratio","fEnaeringsratio"
145,493544,2004,"708590","6103910","4030","{5130}","2.7","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","0.53","mv","mv","mv","7.75","76.39419404125286","7.639419404125286","mv","mv","3","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","16","6","1","1","3.0625","0.375","0.0625","8.844999999999999","603.8","4","0.852454","190.887695","7.078947368421052","4.555555555555555","1.6486486486486487","1.9736842105263157","4.578947368421052","7.105263157894737","0.3157894736842105","0.","0.6453070175438593","14.285614035087708","0.3567385793974707","6.7894736842105265","5.315789473684211","2.6052631578947367","2.3684210526315788","0.15789473684210525","318.6634210526316","20.63258955869567","163.6750877192983","1.1971527178602244","0.9090909090909091","6.933333333333334","5.444444444444445","2.75","2.8181818181818183","3.9166666666666665","5.666666666666667","2.4166666666666665","0.","5.629111111111113","23.44138888888889","247.19206021933095","6.866666666666666","5.866666666666666","4.2","3.4","0.06666666666666667","282.1458000000001","24.5955584389697","592.6518392857141","1.024793388429752","0.8095238095238095"
145,493544,2005,"708590","6103910","5130","{5130}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","11.25","76.39419404125286","12.732365673542143","25.464731347084285","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","23","11","1","1","3.043478","0.4782608695652174","0.043478260869565216","8.844999999999999","603.8","4","0.852454","190.887695","7.366666666666666","8.","1.8888888888888888","1.8888888888888888","4.222222222222222","7.777777777777778","0.","0.","3.1822222222222267","16.05688888888888","0.3268861010060603","6.733333333333333","6.166666666666667","2.7333333333333334","2.466666666666667","0.","319.71911111111126","9.79375","171.73461111111132","1.","0.9024390243902439","6.666666666666667","5.571428571428571","3.2142857142857144","3.0625","3.5","6.333333333333333","2.1666666666666665","0.","6.042063492063494","23.80682291666667","185.307095187017","6.863636363636363","5.954545454545454","4.181818181818182","3.409090909090909","0.045454545454545456","276.92902380952387","44.51294911934895","1480.807495614035","0.9527777777777777","0.8152173913043478"
145,493544,2006,"708590","6103910","5130","{5130}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","26.25","57.295645530939645","0.6366182836771072","50.92946269416857","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","21","10","1","1","3.285714","0.47619047619047616","0.047619047619047616","8.844999999999999","603.8","4","0.852454","190.887695","7.","8.","2.5","2.5","3.375","8.625","0.","0.","2.7988888888888885","18.489555555555537","233.0195054545385","6.4375","6.4375","3.375","2.9375","0.","346.24177777777794","9.79375","231.45299999999995","1.","0.8703703703703703","6.45","5.916666666666667","3.076923076923077","3.1875","4.0588235294117645","6.352941176470588","1.588235294117647","0.","5.501622807017544","22.484166666666667","211.40814459266792","6.7","6.15","4.1","3.5","0.05","288.5747807017544","49.99383290036633","1530.7099171455936","1.0359375","0.8536585365853658"
145,493544,2007,"708590","6103910","5130","{5130}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","12.5","91.67303284950343","1.2732365673542143","1.2732365673542143","0.","mv","mv","mv","mv","mv","mv","mv","mv","1","0","mv","22","10","1","1","3.272727","0.45454545454545453","0.045454545454545456","8.844999999999999","603.8","4","0.852454","190.887695","7.1","4.117647058823529","2.230769230769231","2.125","4.214285714285714","5.928571428571429","1.8571428571428572","0.","4.452999999999999","17.01875","2.384514999999999","7.7","4.65","4.55","2.4","0.5","376.90592592592594","43.316251657404784","523.1911904761905","0.9525862068965517","0.5274725274725275","6.5","5.333333333333333","3.076923076923077","3.3125","4.294117647058823","5.529411764705882","2.176470588235294","0.04","6.638214285714286","20.856406250000003","212.03389452501224","6.7","5.95","4.15","3.6","0.15","279.766980952381","176.6910625439641","3917.3726639875554","1.0765625","0.8674698795180723"
145,493544,2008,"708590","6103910","5130","{5130}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","5.","96.76597911892028","0.6366182836771072","0.12732365673542145","0.","mv","mv","mv","mv","mv","mv","mv","mv","1","0","mv","23","10","1","1","3.260869","0.43478260869565216","0.043478260869565216","8.844999999999999","603.8","4","0.852454","190.887695","7.206896551724138","3.8421052631578947","2.","2.769230769230769","3.4615384615384617","8.076923076923077","0.46153846153846156","0.","4.5183908045977015","15.760256410256385","5.058443234059564","7.310344827586207","4.793103448275862","3.9655172413793105","2.896551724137931","0.10344827586206896","430.8158620689655","15.455454934615393","186.28846153846155","1.3846153846153846","0.7304347826086957","6.619047619047619","5.25","3.5","3.375","3.85","5.95","2.2","0.","4.8907539682539705","23.42692708333334","181.42216063285863","6.7272727272727275","5.818181818181818","4.363636363636363","3.590909090909091","0.045454545454545456","286.99352272727276","43.20231558506533","1464.3414254310342","0.9642857142857143","0.8229166666666666"
145,493544,2009,"708590","6103910","5130","{5130}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","2.5","98.0392156862745","0.6366182836771072","0.","0.","mv","mv","mv","mv","mv","mv","mv","mv","1","0","mv","20","11","1","0","3.3","0.55","0.05","8.844999999999999","603.8","4","0.852454","190.887695","6.6923076923076925","5.5","2.3333333333333335","2.8181818181818183","3.0833333333333335","8.333333333333334","0.5833333333333334","0.","14.893333333333347","19.102098765432086","0.3050339225538721","6.703703703703703","5.074074074074074","3.3703703703703702","3.4814814814814814","0.037037037037037035","297.7072839506173","8.539733726388894","727.4173717948718","1.2077922077922079","1.032967032967033","5.888888888888889","5.9","3.5384615384615383","3.6153846153846154","4.285714285714286","6.428571428571429","1.2857142857142858","0.","7.211527777777779","24.564358974358978","253.03344487521724","6.2105263157894735","6.","4.2105263157894735","3.789473684210526","0.05263157894736842","286.93842592592597","322.7224111229906","4767.188818247127","1.0217391304347827","0.9"
145,537237,2008,"708670","6104020","5130","{5130}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","5.","76.39419404125286","0.12732365673542145","0.12732365673542145","0.","mv","mv","mv","mv","mv","mv","mv","mv","1","0","mv","20","10","1","0","3.5","0.5","0.05","8.411599999999998","603.8","4","0.401567","242.881577","7.777777777777778","5.529411764705882","3.375","2.125","3.4","7.6","1.","0.","4.158666666666667","22.464000000000006","4.740072965367207","7.45","6.15","4.3","2.65","0.","427.42833333333357","20.460896310000003","426.21354166666686","0.6296296296296297","0.6162790697674418","6.0588235294117645","6.1","3.4545454545454546","3.5384615384615383","4.2","6.2","1.6","0.","5.0459722222222245","25.408333333333335","231.4663154774581","6.2631578947368425","6.157894736842105","4.157894736842105","3.6842105263157894","0.10526315789473684","295.8693518518519","320.86301278786243","4662.332568247126","1.0242914979757085","0.8860759493670886"
145,537237,2009,"708670","6104020","5130","{5130}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","6.25","82.76037687802393","0.6366182836771072","0.","0.","mv","mv","mv","mv","mv","mv","mv","mv","1","0","mv","29","15","2","0","3.517241","0.5172413793103449","0.06896551724137931","8.411599999999998","603.8","4","0.401567","242.881577","7.","4.444444444444445","2.2","3.","3.3","8.7","0.","0.","3.8785185185185185","16.890740740740707","4.382900168343438","6.888888888888889","5.222222222222222","3.611111111111111","3.0555555555555554","0.","406.43759259259264","4.443999999999999","128.76766666666657","1.3636363636363635","0.8461538461538461","6.1923076923076925","5.625","3.4705882352941178","3.3","3.875","6.375","1.75","0.","4.0270535714285725","23.6263253968254","193.6386555946189","6.357142857142857","5.892857142857143","4.357142857142857","3.642857142857143","0.10714285714285714","292.67076282051283","213.4822917417896","3219.1276409841958","0.9508474576271186","0.8360655737704918"
1047,550712,2008,"556710","6297040","5130","{5130}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","10.","70.02801120448179","0.","57.295645530939645","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","mv","14","9","1","0","4.","0.6428571428571429","0.07142857142857142","14.2349","807.7","2","3.987725","119.164063","6.609756097560975","4.714285714285714","2.388888888888889","2.4814814814814814","3.740740740740741","8.185185185185185","0.07407407407407407","0.","2.8489430894308945","14.369799999999984","7.368274094600147","6.829268292682927","5.2439024390243905","3.1951219512195124","2.4878048780487805","0.","382.6179268292683","4.826522511895427","83.56726290684627","1.0387596899224807","0.7786259541984732","5.928571428571429","5.375","2.625","2.3636363636363638","4.6","7.","0.4","0.","3.9237499999999996","22.321136363636366","290.54328232767136","6.083333333333333","5.75","2.9166666666666665","2.4166666666666665","0.","313.233630952381","172.55982760156041","521.1104224355623","0.9004329004329005","0.8285714285714286"
1059,496332,2006,"579750","6371520","5130","{5130}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","3.","76.39419404125286","0.","3.819709702062643","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","12","8","0","0","3.833333","0.6666666666666666","0.","12.947399999999998","781.1","2","17.547453","86.953728","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","5.2727272727272725","4.833333333333333","2.625","3.111111111111111","4.","6.7","1.3","0.","4.3912400793650805","31.256666666666668","37.923314865113504","5.416666666666667","5.666666666666667","3.9166666666666665","3.4166666666666665","0.","290.6443939393939","306.717720027078","2642.1539425287356","1.1851851851851851","0.8723404255319149"
